route,id,name,lat,lon,type,altitude,height,width
SBSP-SBGR (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-SBGR (Parallel 1),2,CLUBE_SIRIO,-23.60810696321042,-46.65030859567146,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),3,CEBOLINHA,-23.59282164368213,-46.64846381572834,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),4,ANA_ROSA,-23.58369056436034,-46.63672385660041,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),5,PARQUE_ACLIMACAO,-23.576009721284525,-46.62676720816882,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),6,ITAU_CTO,-23.5591386367501,-46.61355152528353,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),7,ALCANTARA_MACHADO,-23.552930780995844,-46.60837831215494,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),8,BRAS,-23.54569669218368,-46.61312568293789,Waypoint,1219,305,457
SBSP-SBGR (Parallel 1),9,SHOPPING_TATUAPE,-23.532972445391017,-46.579240141706286,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 1),10,PONTE_ARICANDUVA,-23.518684800580004,-46.56385449621903,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 1),11,BARRAGEM_TIETE,-23.496914029887687,-46.54618316219257,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 1),12,DUMONT,-23.476915994257524,-46.47468243478397,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 1),13,SBGR,-23.435556,-46.473056,Airport,760,305,457
SBSP-SBGR (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-SBGR (Parallel 2),2,CLUBE_SIRIO,-23.607448592345182,-46.65524695988414,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),3,CEBOLINHA,-23.590511689651272,-46.653202850938264,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),4,ANA_ROSA,-23.58019832452846,-46.63994281006619,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),5,PARQUE_ACLIMACAO,-23.572879167604274,-46.630455014053375,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),6,ITAU_CTO,-23.556416918805503,-46.61755958582767,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),7,ALCANTARA_MACHADO,-23.552624774559753,-46.61439946562285,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),8,BRAS,-23.542081085594123,-46.621318761506515,Waypoint,1219,305,457
SBSP-SBGR (Parallel 2),9,SHOPPING_TATUAPE,-23.528639113561262,-46.581531783014945,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 2),10,PONTE_ARICANDUVA,-23.51568515204849,-46.567643578337446,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 2),11,BARRAGEM_TIETE,-23.49303503774274,-46.54928049261596,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 2),12,DUMONT,-23.473696062246297,-46.479965480183,Waypoint,914.4,305,457
SBSP-SBGR (Parallel 2),13,SBGR,-23.435556,-46.473056,Airport,760,305,457
SBSP-SBMT (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-SBMT (Parallel 1),2,CLUBE_SIRIO,-23.60810696321042,-46.65030859567146,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),3,CEBOLINHA,-23.59282164368213,-46.64846381572834,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),4,ANA_ROSA,-23.58369056436034,-46.63672385660041,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),5,PARQUE_ACLIMACAO,-23.576009721284525,-46.62676720816882,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),6,ITAU_CTO,-23.5591386367501,-46.61355152528353,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),7,ALCANTARA_MACHADO,-23.552930780995844,-46.60837831215494,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),8,BRAS,-23.542856261727895,-46.61498971542449,Waypoint,1219,305,457
SBSP-SBMT (Parallel 1),9,SBMT,-23.509,-46.633,Airport,760,305,457
SBSP-SBMT (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-SBMT (Parallel 2),2,CLUBE_SIRIO,-23.607448592345182,-46.65524695988414,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),3,CEBOLINHA,-23.590511689651272,-46.653202850938264,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),4,ANA_ROSA,-23.58019832452846,-46.63994281006619,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),5,PARQUE_ACLIMACAO,-23.572879167604274,-46.630455014053375,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),6,ITAU_CTO,-23.556416918805503,-46.61755958582767,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),7,ALCANTARA_MACHADO,-23.552624774559753,-46.61439946562285,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),8,BRAS,-23.544921516049907,-46.619454729019914,Waypoint,1219,305,457
SBSP-SBMT (Parallel 2),9,SBMT,-23.509,-46.633,Airport,760,305,457
SBSP-VP-001 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-001 (Parallel 1),2,WASHINGTON_LUIS,-23.630563721805622,-46.66859946540812,Waypoint,1219,305,457
SBSP-VP-001 (Parallel 1),3,Geometric GN_144,-23.621466646799245,-46.676353438144154,Geometric Node,1219,305,457
SBSP-VP-001 (Parallel 1),4,Geometric GN_143,-23.613248832428837,-46.686955696062455,Geometric Node,1219,305,457
