scenario,waypoint_id,label,criterion,network_degree,latitude,longitude,altitude_m,replica_count,mean_operations_per_replica,mean_throughput_per_hour,mean_peak_throughput_per_hour,uam_route_ids,reh_resource_ids,rank
C1,XUAMREH027,Cruzamento UAM × REH 027,uam_reh_crossing,,-23.514054899958264,-46.726723850672045,975.36,50,263.02,10.932042412732862,71.52,UAM061;UAM070,REH-165,1
C1,XUAMREH018,Cruzamento UAM × REH 018,uam_reh_crossing,,-23.518395971076906,-46.74256801100671,1005.84,50,262.96,10.929368421052631,67.52,UAM062;UAM069,REH-181,2
C1,XUAMREH020,Cruzamento UAM × REH 020,uam_reh_crossing,,-23.51801559902815,-46.7382529111411,1005.84,50,236.22,9.817910472056429,54.56,UAM012;UAM026;UAM038;UAM056,REH-181,3
C1,XUAMREH025,Cruzamento UAM × REH 025,uam_reh_crossing,,-23.515109439612967,-46.73455784831051,1005.84,50,224.38,9.32568674262977,58.56,UAM011;UAM025;UAM037;UAM055,REH-181,4
C1,XJUNCTION050,Geometric GN_31,uam_junction,3,-23.514022994171626,-46.735263320477685,914.4,50,167.06,6.9432307831434255,42.88,UAM011;UAM025;UAM037;UAM055;UAM061;UAM070,,5
C1,XUAMREH023,Cruzamento UAM × REH 023,uam_reh_crossing,,-23.546804572765158,-46.73530258979139,953.8536696531238,50,163.36,6.7903150660155545,43.92,UAM015;UAM065,REH-200,6
C1,XUAMREH019,Cruzamento UAM × REH 019,uam_reh_crossing,,-23.537522076083363,-46.7424579931275,1005.84,50,152.74,6.348684481823114,40.88,UAM052;UAM072,REH-198,7
C1,XUAMREH017,Cruzamento UAM × REH 017,uam_reh_crossing,,-23.53638657640141,-46.74321939760633,1005.84,50,146.24,6.078534816422499,38.88,UAM030;UAM042;UAM060;UAM070,REH-198,8
C1,XREH020,Ponte Jaguaré,reh_junction,3,-23.545833,-46.734722,1005.84,50,141.06,5.863403960933262,33.36,,REH-198;REH-200;REH-201,9
C1,XUAMREH016,Cruzamento UAM × REH 016,uam_reh_crossing,,-23.538606943555322,-46.74397829084542,1005.84,50,138.52,5.757611050822934,34.0,UAM029;UAM041;UAM051;UAM059;UAM069;UAM071,REH-198,10
C1,XJUNCTION047,Geometric GN_31,uam_junction,3,-23.518480331799573,-46.737620862360394,914.4,50,123.22,5.121571803219389,36.96,UAM012;UAM026;UAM038;UAM056;UAM062;UAM069,,11
C1,XUAMREH022,Cruzamento UAM × REH 022,uam_reh_crossing,,-23.54492364320313,-46.73569221948398,1005.84,50,118.86,4.940512570085006,27.6,UAM015;UAM065,REH-198,12
C1,XUAMREH021,Cruzamento UAM × REH 021,uam_reh_crossing,,-23.54736600595645,-46.73639520953387,960.1200000000001,50,117.42,4.880597033821667,37.04,UAM016;UAM066,REH-200,13
C1,XUAMREH041,Cruzamento UAM × REH 041,uam_reh_crossing,,-23.54266838564232,-46.604923183706596,1005.84,50,115.4,4.796557424489057,32.08,UAM001;UAM022;UAM024,REH-130,14
C1,XUAMREH039,Cruzamento UAM × REH 039,uam_reh_crossing,,-23.54272604596319,-46.60709499132373,1005.84,50,115.4,4.796557424489057,32.0,UAM018,REH-130,15
C1,XUAMREH040,Cruzamento UAM × REH 040,uam_reh_crossing,,-23.542635073452516,-46.60660014654001,1005.84,50,115.4,4.796557424489057,32.0,UAM020;UAM026;UAM028;UAM030,REH-130,16
C1,XUAMREH013,Cruzamento UAM × REH 013,uam_reh_crossing,,-23.524579799117795,-46.7533088495644,1036.3200000000002,50,102.24,4.248996111412552,36.08,UAM046;UAM052;UAM072,REH-167,17
C1,XUAMREH012,Cruzamento UAM × REH 012,uam_reh_crossing,,-23.525568544258785,-46.75437731483486,1036.3200000000002,50,96.06,3.992103364080304,33.44,UAM005,REH-167,18
C1,XUAMREH034,Cruzamento UAM × REH 034,uam_reh_crossing,,-23.612699209237856,-46.701270116014804,1066.65,50,85.08,3.5361090613130766,29.2,UAM016,REH-204,19
C1,XREH010,Avenida Morumbi,reh_junction,3,-23.611667,-46.712778,1036.3200000000002,50,77.82,3.234248507867607,26.32,,REH-202;REH-203;REH-204,20
C1,XUAMREH029,Cruzamento UAM × REH 029,uam_reh_crossing,,-23.612599208788925,-46.708582576571175,1066.65,50,76.1,3.1627611683848795,26.16,UAM014,REH-204,21
C1,XUAMREH030,Cruzamento UAM × REH 030,uam_reh_crossing,,-23.612763990761376,-46.70773960938346,1066.65,50,75.44,3.1353297160426843,26.08,UAM006;UAM064,REH-204,22
C1,XREH017,Extra Jaguaré,reh_junction,3,-23.557222,-46.7475,1005.84,50,67.68,2.8128959124615664,22.4,,REH-199;REH-200;REH-202,23
C1,XUAMREH031,Cruzamento UAM × REH 031,uam_reh_crossing,,-23.611550190365055,-46.70746402773739,1066.65,50,67.64,2.811107343100018,24.96,UAM005,REH-204,24
C1,XUAMREH032,Cruzamento UAM × REH 032,uam_reh_crossing,,-23.611641354291702,-46.706194188631684,1066.65,50,66.92,2.7812276180141073,24.8,UAM013,REH-204,25
C1,XUAMREH033,Cruzamento UAM × REH 033,uam_reh_crossing,,-23.611693435361,-46.70497560667669,1066.65,50,65.96,2.741295803942847,24.8,UAM063,REH-204,26
C1,XUAMREH036,Cruzamento UAM × REH 036,uam_reh_crossing,,-23.613195941670394,-46.69757502277295,1034.1961159440584,50,51.1,2.123615843733044,23.84,UAM064,REH-141,27
C1,XUAMREH006,Cruzamento UAM × REH 006,uam_reh_crossing,,-23.524442660816746,-46.81684682966029,975.36,50,51.06,2.1219930367155,21.76,UAM027;UAM039;UAM057;UAM072,REH-135,28
